2014,8,9,3,16800,1
2011,11,15,2,520,1
2006,11,17,3,10889,1
2007,12,0,2,13303,1
2003,11,22,10,14545,1
2013,4,14,10,7881,1
2010,11,2,7,18710,1
2008,5,10,1,9437,1
2015,4,7,2,130,1
2013,1,15,10,10433,1
2012,3,11,5,15531,1
2012,5,5,4,6118,1
2011,2,3,3,4792,1
2010,1,18,5,19645,1
2012,9,15,2,20380,1
2009,5,12,9,15027,1
2006,1,22,4,9121,1
2013,10,0,6,5161,1
2008,4,9,3,6488,1
2009,1,2,3,7447,1
2003,9,16,7,15941,1
2010,5,20,5,10837,1
2014,11,3,8,2602,1
2012,7,9,5,3010,1
2009,5,11,2,7931,1
2009,3,12,5,6807,1
2007,10,12,2,17980,1
2009,2,0,10,11952,1
2009,4,9,5,17033,1
2015,2,21,3,20241,1
2012,9,0,5,3786,1
2011,8,1,1,10622,1
2011,3,22,5,2596,1
2015,3,3,2,10196,1
2014,7,23,9,16072,1
2013,3,14,10,878,1
2004,3,10,4,2952,1
2010,12,9,3,16816,1
2008,5,8,9,2068,1
2011,11,2,5,75,1
2009,12,23,10,8760,1
2005,11,1,2,6491,1
2007,5,8,9,13108,1
2009,11,23,2,14651,1
2007,2,14,7,22924,1
2014,5,15,3,16583,1
2004,6,21,6,10813,1
2011,10,20,6,4588,1
2013,4,14,2,6820,1
2011,12,23,5,263,1
2010,11,6,3,13935,1
2007,9,20,1,11738,1
2010,2,17,1,15918,1
2013,12,22,3,22817,1
2006,3,2,6,2670,1
2010,9,1,1,19502,1
2014,8,18,2,22037,1
2011,9,12,4,6514,1
2014,9,0,8,4683,1
2014,11,21,7,12683,1
2008,10,19,4,10179,1
2003,11,23,9,21533,1
2004,8,12,3,21546,1
2012,7,22,3,22817,1
2012,12,2,10,12831,1
2008,2,2,5,1090,1
2012,4,1,6,6920,1
2003,12,19,7,12706,1
2004,5,18,5,20549,1
2007,5,14,4,12702,1
2009,10,0,8,4773,1
2015,1,20,1,10924,1
2004,5,22,9,8215,1
2011,2,20,9,3690,1
2011,6,23,5,11806,1
2015,3,19,5,17839,1
2004,5,10,5,4968,1
2009,1,0,2,15966,1
2010,4,20,2,288,1
2011,6,2,5,21609,1
2013,5,0,3,17930,1
2008,1,19,9,5812,1
2010,9,22,6,12365,1
2009,8,0,5,5445,1
2006,7,17,10,14328,1
2010,10,19,6,11204,1
2009,8,9,9,17323,1
2012,6,2,1,18921,1
2010,7,4,5,8073,1
2014,5,19,1,16454,1
2003,8,10,3,17749,1
2003,7,18,1,9971,1
2010,11,7,8,1736,1
2009,6,19,1,1910,1
2011,5,3,8,10978,1
2006,12,17,6,9878,1
2013,11,8,3,9481,1
2012,4,0,9,3827,1
2013,3,2,1,18190,1
2013,9,17,7,547,1
2014,12,18,6,12091,1
2012,3,23,3,21138,1
2008,8,0,9,230,1
2013,11,21,1,15114,1
2015,1,1,6,13215,1
2006,11,14,1,9265,1
2005,4,18,3,11421,1
2013,7,12,9,14233,1
2013,5,21,2,3417,1
2011,8,2,10,10433,1
2013,3,18,5,4726,1
2010,5,13,10,9467,1
2005,4,18,3,11421,1
2012,12,15,10,16995,1
2008,11,23,6,10939,1
2006,10,1,8,15859,1
2009,3,16,9,1596,1
2004,10,3,1,9971,1
2011,2,20,9,3690,1
2009,1,23,2,12239,1
2010,11,9,10,10433,1
2005,6,13,3,17147,1
2015,4,18,5,22095,1
2009,10,13,6,4588,1
2005,7,0,2,16375,1
2003,7,2,6,4588,1
2004,9,22,9,18048,1
2008,7,12,4,9803,1
2012,3,15,10,17897,1
2004,12,19,1,17204,1
2010,2,11,6,9878,1
2003,12,17,3,18017,1
2014,3,19,5,15991,1
2006,11,20,7,5570,1
2009,4,13,10,16586,1
2004,2,15,10,3004,1
2009,2,23,1,3072,1
2014,5,16,10,14545,1
2011,3,21,8,4296,1
2005,10,17,5,13155,1
2009,10,16,10,20621,1
2013,2,15,9,5581,1
2004,2,19,8,8725,1
2014,8,17,7,9222,1
2013,6,2,5,9258,1
2014,5,23,1,6980,1
2011,1,20,6,10813,1
2012,11,0,5,17033,1
2003,9,11,10,6494,1
2009,12,0,3,19476,1
2011,8,7,9,10084,1
2008,12,11,6,12964,1
2010,2,16,8,5988,1
2010,11,19,10,10433,1
2014,8,9,10,3886,1
2014,3,14,6,12953,1
2013,4,7,4,17616,1
2007,2,8,9,2068,1
2007,7,0,10,2210,1
2004,10,3,1,9971,1
2005,1,4,6,13215,1
2012,1,12,6,12733,1
2006,11,18,9,698,1
2013,11,8,3,9481,1
2012,5,18,8,16246,1
2005,7,22,9,7714,1
2010,5,19,5,18321,1
2004,3,18,6,13215,1
2011,2,19,5,8863,1
2011,8,7,9,10084,1
2013,9,19,10,14545,1
2010,1,2,10,20334,1
2009,10,12,8,1535,1
2010,2,23,4,1984,1
2011,5,13,9,21401,1
2003,3,16,5,6101,1
2009,1,23,2,12239,1
2006,2,14,8,9604,1
2006,10,20,10,9021,1
2013,11,2,3,1124,1
2008,4,21,5,20301,1
2006,1,9,9,10337,1
2005,7,12,10,6786,1
2010,11,21,6,4588,1
2007,6,13,10,10433,1
2007,8,9,3,19476,1
2009,8,20,5,19701,1
2012,9,20,3,13721,1
2011,8,23,1,17869,1
2005,10,12,1,10340,1
2007,11,21,4,16318,1
2006,1,9,9,10337,1
2013,7,19,1,2591,1
2004,5,18,3,14263,1
2014,9,22,9,21112,1
2005,9,0,7,22675,1
2015,1,12,10,3752,1
2011,12,22,10,4599,1
2009,10,13,6,10696,1
2007,12,20,1,16103,1
2008,3,15,9,6148,1
2012,3,23,3,21138,1
2010,9,15,3,18091,1
2014,8,15,2,11531,1
2005,7,0,2,16375,1
2006,12,21,10,14545,1
2008,9,11,9,20795,1
2007,3,17,9,1596,1
2010,7,1,5,20163,1
2005,6,20,1,2357,1
2012,10,19,3,7718,1
2006,5,13,2,11394,1
2010,3,3,3,12482,1
2014,3,14,6,12953,1
2013,3,17,5,21463,1
2006,1,23,3,11739,1
2011,10,14,10,13168,1
2007,3,0,8,17266,1
2004,12,19,1,17204,1
2011,3,3,3,16794,1
2011,9,19,3,1641,1
2011,4,21,1,21288,1
2014,3,14,9,14323,1
2013,1,0,7,13342,1
2012,4,18,10,8158,1
2004,5,18,9,9169,1
2011,10,10,9,18527,1
2011,11,5,10,14545,1
2013,11,23,5,7261,1
2012,12,14,1,6482,1
2003,10,19,3,10562,1
2014,5,2,2,19084,1
2014,1,15,3,8579,1
2012,6,19,9,4511,1
2013,9,20,9,12070,1
2011,6,1,8,10555,1
2011,10,20,8,9336,1
2013,2,15,9,5581,1
2006,2,18,9,87,1
2014,3,14,6,12953,1
2003,3,7,6,13215,1
2007,5,7,5,17656,1
2014,4,2,5,15917,1
2014,1,2,3,16145,1
2008,9,11,9,20795,1
2014,9,14,5,9693,1
2008,11,10,3,4758,1
2014,5,0,2,22842,1
2004,4,8,9,3517,1
2007,10,1,3,13223,1
2009,4,10,10,10433,1
2007,12,3,1,11265,1
2003,4,23,6,17627,1
2010,2,22,3,13843,1
2013,9,0,8,3486,1
2011,1,18,8,19042,1
2014,2,19,5,761,1
2003,9,16,5,543,1
2013,7,8,8,8217,1
2006,5,14,6,19891,1
2013,9,8,3,11912,1
2004,11,14,9,18067,1
2013,5,12,1,22248,1
2014,6,9,3,17259,1
2014,12,22,9,10766,1
2013,12,14,5,2372,1
2005,5,15,5,611,1
2004,12,8,7,13568,1
2010,9,3,8,22697,1
2008,7,20,1,4257,1
2006,12,13,10,10433,1
2003,11,21,10,21165,1
2007,7,18,10,17693,1
2007,2,14,7,22924,1
2006,10,20,10,9021,1
2004,2,10,5,19287,1
2007,11,17,5,173,1
2009,10,2,2,17136,1
2011,1,5,3,22295,1
2006,9,11,4,11267,1
2005,9,0,7,22675,1
2003,1,12,1,12103,1
2005,5,20,10,2210,1
2005,5,20,10,2210,1
2006,2,18,9,87,1
2013,1,13,8,14259,1
2014,10,15,2,520,1
2009,8,1,10,12314,1
2004,5,15,1,21829,1
2009,8,12,3,19690,1
2014,7,1,1,9378,1
2009,10,13,6,10696,1
2005,8,12,10,1024,1
2007,11,15,8,18206,1
2013,5,11,3,10946,1
2008,11,7,2,15138,1
2011,6,14,3,10946,1
2011,2,2,1,4024,1
2013,10,0,5,15531,1
2010,9,20,1,14730,1
2011,12,6,3,17749,1
2011,6,18,7,9676,1
2009,11,21,5,7366,1
2007,4,14,5,8323,1
2006,1,16,5,8393,1
2011,11,4,3,7392,1
2010,1,23,7,5193,1
2009,12,11,4,11743,1
2011,9,18,2,4126,1
2015,3,3,2,10196,1
2009,2,16,10,10433,1
2004,2,19,8,8725,1
2008,5,8,9,2068,1
2013,4,3,2,1311,1
2013,2,15,9,5581,1
2011,9,2,5,13540,1
2010,2,8,3,18310,1
2006,2,14,8,22168,1
2004,2,10,5,19287,1
2007,1,14,10,1751,1
2007,12,12,6,2319,1
2010,12,0,1,1180,1
2013,6,19,4,19631,1
2004,1,10,9,15839,1
2009,1,0,2,7425,1
2007,12,19,3,2601,1
2012,7,0,8,19086,1
2013,8,19,10,2619,1
2005,9,2,8,21762,1
2012,12,6,10,17561,1
2009,3,16,9,1596,1
2003,9,16,5,543,1
2003,5,17,10,10433,1
2006,11,18,10,10433,1
2009,8,12,3,19690,1
2007,11,20,10,2210,1
2011,4,9,1,15283,1
2011,4,23,3,2933,1
2012,8,13,3,13520,1
2010,7,3,5,21220,1
2007,9,8,3,19476,1
2006,11,10,3,13564,1
2010,2,22,3,13843,1
2009,12,0,3,11519,1
2011,10,18,9,13917,1
2006,1,11,3,6851,1
2015,1,10,3,882,1
2014,11,15,7,2635,1
2015,5,10,2,19871,1
