2013,10,19,3,10616,1
2005,9,0,7,22675,1
2013,4,3,2,1311,1
2009,4,13,10,16586,1
2003,7,21,5,6415,1
2003,6,20,3,21138,1
2005,11,12,8,18150,1
2003,11,23,9,2606,1
2014,5,0,6,12365,1
2015,1,1,10,12195,1
2012,12,16,9,14240,1
2014,7,7,10,20324,1
2011,8,7,9,10084,1
2012,3,11,5,15531,1
2008,5,23,9,750,1
2014,5,10,8,12010,1
2013,12,7,5,6415,1
2013,3,3,9,16708,1
2005,6,1,2,8434,1
2009,12,20,2,12761,1
2013,3,3,9,16708,1
2008,10,17,5,14922,1
2011,1,6,6,83,1
2012,10,7,9,3910,1
2013,2,15,9,5581,1
2011,7,23,10,10433,1
2007,11,2,7,21620,1
2013,11,18,10,10433,1
2011,6,15,2,22105,1
2003,5,21,1,11533,1
2003,12,19,7,12706,1
2007,3,14,3,23001,1
2011,12,18,6,1489,1
2004,7,16,2,6923,1
2009,2,10,6,6892,1
2011,3,22,6,2319,1
2010,10,12,2,9317,1
2013,3,12,10,21594,1
2003,11,22,10,14545,1
2003,7,3,9,16842,1
2007,4,2,2,5983,1
2012,5,5,4,6118,1
2013,7,21,6,13215,1
2005,5,1,2,10716,1
2011,12,13,3,21517,1
2003,5,17,10,10433,1
2007,6,16,7,16634,1
2006,12,15,3,22745,1
2008,1,16,7,19507,1
2013,9,17,7,547,1
2006,3,8,9,9557,1
2006,7,17,10,14328,1
2013,7,23,10,9369,1
2012,1,12,6,12733,1
2014,5,13,7,12248,1
2008,6,9,5,11715,1
2009,3,22,5,8357,1
2015,1,10,3,882,1
2011,4,0,1,10786,1
2013,3,19,6,12091,1
2013,1,11,8,4093,1
2008,9,23,3,5041,1
2008,5,3,1,16620,1
2006,7,22,5,11825,1
2010,10,8,9,20195,1
2010,7,19,10,10433,1
2013,8,13,7,4986,1
2014,8,10,8,3331,1
2007,7,11,1,5840,1
2008,9,22,9,17835,1
2006,9,18,3,2678,1
2012,12,6,1,19949,1
2009,10,13,6,10696,1
2009,10,19,2,14267,1
2008,10,5,6,4462,1
2013,5,17,3,7217,1
2009,6,22,8,12861,1
2007,10,0,10,16884,1
2004,6,14,7,5990,1
2015,4,14,9,8307,1
2013,2,15,9,5581,1
2003,3,7,6,13215,1
2009,3,22,5,8357,1
2009,9,11,2,6841,1
2013,10,18,6,19850,1
2011,10,20,6,4588,1
2013,4,12,7,21723,1
2009,8,0,3,22945,1
2013,8,18,3,10257,1
2003,8,18,10,20202,1
2014,8,18,10,10433,1
2011,12,13,3,21517,1
2013,10,2,2,13566,1
2003,7,21,10,10433,1
2008,10,17,5,14922,1
2003,9,22,6,11204,1
2014,5,22,6,1226,1
2008,3,19,9,3857,1
2007,5,23,2,22243,1
2010,1,16,9,17111,1
2013,4,4,2,17310,1
2009,10,19,9,16176,1
2008,10,16,6,1489,1
2003,1,2,10,20202,1
2007,8,9,3,19476,1
2004,8,23,8,1056,1
2012,2,18,10,10433,1
2005,9,19,8,13354,1
2014,7,11,3,11395,1
2003,4,11,2,8842,1
2007,7,2,7,18862,1
2008,6,23,9,3221,1
2012,9,14,3,5389,1
2004,6,3,4,8791,1
2014,5,9,4,19782,1
2012,1,11,3,8579,1
2006,11,18,9,698,1
2003,8,12,10,22819,1
2006,5,20,3,7447,1
2004,5,22,9,8215,1
2010,3,1,10,2619,1
2006,6,11,6,9835,1
2004,3,16,3,22433,1
2008,9,20,9,3857,1
2011,5,13,10,22298,1
2013,10,1,10,20202,1
2011,1,11,6,9486,1
2009,6,18,8,8079,1
2013,7,8,5,8863,1
2014,6,17,3,20842,1
2004,1,12,6,12091,1
2014,1,9,9,1884,1
2009,3,14,8,19332,1
2010,1,2,10,20334,1
2015,4,17,5,1625,1
2011,8,1,10,14138,1
2012,2,5,1,17038,1
2013,2,3,2,16795,1
2005,9,19,8,13354,1
